src_ip,dst_ip,src_port,Destination Port,protocol,timestamp,Flow Duration,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Max Packet Length,Min Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd Header Length,Bwd Header Length,min_seg_size_forward,act_data_pkt_fwd,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Total,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,bwd_psh_flags,Fwd URG Flags,bwd_urg_flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,Avg Fwd Segment Size,Avg Bwd Segment Size,CWE Flag Count,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,Label,Fwd Header Length.1
192.168.1.62,162.159.61.4,52468,443,6,2026-05-03 00:06:26,120.000074,6.3499960841690815,0.0666666255555809,0.0499999691666856,0.0166666563888952,6,2,552,210,105,66,92.0,18.384776310850235,105,105,105.0,0.0,105,66,95.25,16.887495373796554,285.1875,120,40,20,4,17.142867714285718,60.993713,0.0,27.106876603423256,120.000074,60.993713,0.0,24.0000148,29.395990061426403,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,6,8,0,0,0.3333333333333333,95.25,67,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,92.0,105.0,0,6,2,552,210,SSH-Patator,120
192.168.1.62,192.168.1.63,56620,123,17,2026-05-03 00:06:19,0.000242,1115702.479338843,12396.694214876034,8264.462809917355,4132.231404958678,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.000121,0.000242,0.0,0.000121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,90.0,90.0,0,2,1,180,90,SSH-Patator,40
192.168.1.62,192.168.1.1,53431,53,17,2026-05-03 00:06:28,0.20542,2278.2591763216824,14.604225489241555,9.736150326161036,4.868075163080518,2,1,200,268,100,100,100.0,0.0,268,268,268.0,0.0,268,100,156.0,79.19595949289332,6272.0,40,20,20,2,0.10271,0.20542,0.0,0.10271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100.0,268.0,0,2,1,200,268,SSH-Patator,40
192.168.1.61,192.168.1.62,39752,22,6,2026-05-03 00:06:42,0.113012,41039.88956924928,230.06406399320423,123.8806498424946,106.18341415070964,14,12,2087,2551,970,66,149.07142857142858,228.67021302856787,1186,66,212.58333333333331,322.1253530158028,1186,66,178.3846153846154,277.57896685490545,77050.08284023669,280,240,20,7,0.00452048,0.040255,0.0,0.0111166044748205,0.113012,0.040464,0.0,0.0086932307692307,0.0143027674361069,0.112885,0.041393,4.6e-05,0.0102622727272727,0.0153066514186771,7,5,0,0,2,3,0,12,24,0,0,0.8571428571428571,178.3846153846154,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,149.07142857142858,212.58333333333331,0,14,12,2087,2551,SSH-Patator,280
192.168.1.61,192.168.1.62,39762,22,6,2026-05-03 00:06:42,21.949123,287.11853316417245,1.822396275240701,0.8200783238583155,1.0023179513823854,18,22,2755,3547,970,66,153.05555555555554,200.58372378364496,1186,66,161.22727272727272,245.2097306051924,1186,66,157.55,226.25659658891715,51192.0475,360,440,20,12,0.5627980256410254,3.645562,0.0,1.3116463558769396,21.949123,3.654028,0.0,1.291124882352941,1.7400966587946938,21.949039,3.645562,4.3e-05,1.0451923333333333,1.6403865637953794,12,11,0,0,2,3,0,23,38,0,0,1.2222222222222223,157.55,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,153.05555555555554,161.22727272727272,0,18,22,2755,3547,SSH-Patator,360
192.168.1.61,192.168.1.62,39764,22,6,2026-05-03 00:06:42,21.949103,287.84775396060604,1.822397935806306,0.8200790711128377,1.0023188646934682,18,22,2771,3547,970,66,153.94444444444446,200.5504847004371,1186,66,161.22727272727272,245.2097306051924,1186,66,157.95,226.235822760234,51182.64749999999,360,440,20,12,0.5627975128205127,3.645568,0.0,1.311636007567646,21.949103,3.653114,0.0,1.2911237058823528,1.7399853797959055,21.948988,3.645568,4.7e-05,1.0451899047619049,1.6403723497567164,12,11,0,0,2,3,0,23,38,0,0,1.2222222222222223,157.95,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,153.94444444444446,161.22727272727272,0,18,22,2771,3547,SSH-Patator,360
192.168.1.61,192.168.1.62,39792,22,6,2026-05-03 00:06:42,21.939108,288.7081826663144,1.823228182294376,0.8204526820324691,1.0027755002619068,18,22,2787,3547,970,66,154.83333333333334,200.51329964202708,1186,66,161.22727272727272,245.2097306051924,1186,66,158.35,226.2143397311497,51172.927500000005,360,440,20,12,0.5625412307692307,3.645605,0.0,1.3117700605876883,21.939108,3.645938,0.0,1.2905357647058824,1.7395511718668573,21.939019,3.645605,4.7e-05,1.0447151904761904,1.6407105286212238,12,11,0,0,2,3,0,23,38,0,0,1.2222222222222223,158.35,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,154.83333333333334,161.22727272727272,0,18,22,2787,3547,SSH-Patator,360
192.168.1.61,192.168.1.62,39794,22,6,2026-05-03 00:06:42,21.949315,287.4804976829573,1.822380333964864,0.8200711502841889,1.0023091836806752,18,22,2763,3547,970,66,153.5,200.5675973608676,1186,66,161.22727272727272,245.2097306051924,1186,66,157.75,226.24629831225968,51187.3875,360,440,20,12,0.5628029487179487,3.645561,0.0,1.3116378257297532,21.949315,3.655053,0.0,1.2911361764705884,1.7402208715198884,21.949253,3.645561,3.3e-05,1.0452025238095235,1.6403704794136515,12,11,0,0,2,3,0,23,38,0,0,1.2222222222222223,157.75,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,153.5,161.22727272727272,0,18,22,2763,3547,SSH-Patator,360
192.168.1.62,192.168.1.63,39656,123,17,2026-05-03 00:07:24,0.000483,559006.2111801242,6211.180124223602,4140.786749482402,2070.393374741201,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.0002415,0.000483,0.0,0.0002415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,90.0,90.0,0,2,1,180,90,SSH-Patator,40
192.168.1.61,192.168.1.62,42026,22,6,2026-05-03 00:07:33,20.116365,313.6749606601392,1.988430812425605,0.8947938655915222,1.0936369468340827,18,22,2763,3547,970,66,153.5,200.5675973608676,1186,66,161.22727272727272,245.2097306051924,1186,66,157.75,226.24629831225968,51187.3875,360,440,20,12,0.5158042307692308,3.645664,0.0,1.231098994991362,20.116365,3.646035,0.0,1.183315588235294,1.6447016470314273,20.116254,3.645664,3.5e-05,0.957916857142857,1.5463479130373847,12,11,0,0,2,3,0,23,38,0,0,1.2222222222222223,157.75,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,153.5,161.22727272727272,0,18,22,2763,3547,SSH-Patator,360
